cgpa,technical_score,aptitude_score,communication_score,internship_count,project_count,experience_months,leadership_score,cultural_fit_score,success
6.87,86,68,8,4,7,17,2,8,1
9.75,51,86,8,4,4,30,4,5,1
8.66,55,67,6,0,7,29,5,1,1
7.99,63,74,3,2,7,32,3,7,0
5.78,58,47,3,1,1,9,9,3,0
5.78,47,55,1,1,6,11,5,8,0
5.29,70,81,7,2,1,29,2,3,1
9.33,60,75,5,1,2,26,3,1,1
8.01,56,69,4,0,6,8,9,5,0
8.54,62,57,4,0,3,20,7,2,0
5.1,76,41,4,2,2,11,2,4,0
9.85,93,88,6,1,5,28,9,1,1
9.16,55,52,8,0,1,32,4,9,1
6.06,45,43,8,0,4,14,9,6,0
5.91,47,65,5,3,1,1,2,8,0
5.92,64,64,6,3,4,17,4,4,1
6.52,57,69,4,0,6,2,5,9,0
7.62,64,50,9,2,5,6,2,2,1
7.16,51,46,8,4,6,17,1,9,1
6.46,54,70,1,4,5,32,7,5,0
8.06,98,83,2,0,1,30,1,6,0
5.7,65,49,9,0,4,10,8,3,1
6.46,80,78,8,0,6,3,3,4,1
6.83,84,52,3,2,5,17,6,6,0
7.28,65,70,8,3,7,3,7,7,1
8.93,86,46,1,0,2,33,1,1,0
6.0,71,95,4,0,2,28,6,7,0
7.57,49,88,3,1,6,23,7,1,0
7.96,55,81,6,2,4,21,6,5,1
5.23,46,81,7,0,7,1,4,6,0
8.04,56,95,4,1,6,5,1,2,0
5.85,62,75,7,4,1,24,9,9,1
5.33,65,59,9,0,5,20,4,6,1
9.74,60,43,2,0,1,15,7,7,0
9.83,61,93,3,1,2,30,7,8,0
9.04,97,46,5,2,5,13,2,1,1
6.52,46,93,3,0,6,27,1,8,0
5.49,53,40,8,4,1,31,8,4,1
8.42,54,83,8,0,3,27,8,8,1
7.2,92,95,8,4,4,8,7,6,1
5.61,46,84,9,3,7,21,8,9,1
7.48,48,81,4,3,7,31,3,4,0
5.17,90,86,5,4,4,4,2,2,1
9.55,87,98,5,2,3,22,7,2,1
6.29,47,52,8,0,2,4,8,5,0
8.31,89,94,7,0,5,31,1,9,1
6.56,98,61,9,3,4,9,9,3,1
7.6,62,93,8,4,3,14,4,8,1
7.73,68,60,2,0,6,6,4,4,0
5.92,57,61,4,0,7,28,3,6,0
9.85,70,67,6,2,3,2,6,6,1
8.88,69,48,2,1,2,18,1,3,0
9.7,91,65,7,3,2,9,6,5,1
9.47,78,48,3,3,1,27,2,3,1
7.99,74,54,3,1,4,28,9,1,0
9.61,57,49,2,0,1,14,2,7,0
5.44,98,63,8,2,7,34,7,4,1
5.98,81,97,6,2,3,5,1,7,0
5.23,78,96,1,3,5,11,7,3,0
6.63,56,81,1,2,5,12,5,5,0
6.94,53,47,7,1,2,28,8,5,1
6.36,70,63,8,0,5,18,4,2,1
9.14,63,55,5,1,5,2,7,2,0
6.78,74,88,5,4,7,7,6,4,1
6.4,83,65,4,3,5,7,5,4,0
7.71,99,66,6,2,3,19,4,4,1
5.7,84,76,6,4,5,3,7,6,1
9.01,73,43,3,2,6,20,5,2,0
5.37,42,89,9,0,5,2,5,6,0
9.93,76,63,7,0,5,7,1,7,1
8.86,82,58,1,0,1,22,2,3,0
5.99,79,75,7,2,3,15,5,8,1
5.03,65,99,5,4,2,12,3,2,0
9.08,94,78,5,0,1,2,2,8,0
8.53,62,49,2,4,4,8,4,5,0
8.65,83,64,4,2,3,13,4,2,0
8.86,78,57,6,4,6,12,4,7,1
5.37,54,58,7,2,3,6,4,2,0
6.79,95,75,5,2,4,14,3,6,1
5.58,88,49,9,3,4,6,7,3,1
9.32,43,72,3,2,4,33,9,9,0
8.12,68,94,1,2,7,21,5,3,0
6.65,61,89,4,1,2,23,4,3,0
5.32,64,44,9,0,5,0,2,5,0
6.55,52,86,4,3,3,9,2,7,0
6.63,57,88,2,3,7,15,5,8,0
8.65,72,74,5,3,5,7,7,7,1
8.19,55,83,3,1,5,24,9,9,0
9.44,84,73,9,2,6,11,7,5,1
7.36,81,72,4,0,4,24,5,3,0
5.6,83,94,6,4,2,16,6,6,1
8.57,41,60,2,2,6,25,3,5,0
8.8,94,56,6,1,1,13,5,4,1
7.81,74,61,3,2,7,35,8,2,1
8.85,81,87,9,2,7,22,1,7,1
7.47,73,76,2,1,2,5,1,5,0
7.61,69,54,9,3,5,4,7,4,1
7.14,98,74,5,3,7,24,5,8,1
5.13,94,67,8,0,2,17,5,9,1
5.54,52,46,2,0,7,12,1,9,0
5.16,52,71,6,3,7,13,9,3,0
8.18,57,50,3,4,4,27,1,3,0
6.57,71,49,5,2,1,17,5,5,0
7.54,71,48,8,4,4,27,9,5,1
9.54,74,53,1,2,1,26,4,2,0
6.25,98,52,5,3,7,31,8,1,1
7.05,78,96,3,0,6,8,6,8,0
8.78,85,64,4,0,5,31,3,3,1
6.14,91,41,2,4,7,19,4,1,0
5.38,68,74,9,0,1,27,2,1,1
6.45,88,46,3,3,1,32,1,2,1
5.81,68,60,2,4,1,3,8,6,0
9.65,92,57,9,2,7,33,1,6,1
9.04,83,42,7,0,2,2,1,3,1
8.17,96,81,6,1,6,25,4,4,1
9.36,55,93,1,0,2,7,6,2,0
9.02,95,78,5,2,5,5,9,2,1
5.93,83,80,3,4,7,15,1,7,0
9.46,86,88,1,2,1,23,7,1,0
7.7,96,50,4,1,6,29,5,7,1
9.04,49,78,2,3,6,12,8,1,0
9.48,69,63,2,0,3,4,7,6,0
6.59,64,99,3,4,5,24,4,3,0
5.55,78,85,8,3,6,19,4,8,1
6.14,59,58,8,2,7,17,6,6,1
7.14,44,43,7,4,1,17,6,2,1
9.09,40,65,6,3,1,1,9,8,0
9.3,69,77,9,4,6,9,5,5,1
5.03,88,81,4,1,2,11,8,8,0
7.55,42,71,1,1,5,12,5,8,0
7.09,84,78,8,0,1,10,2,6,1
6.11,53,84,7,0,6,18,6,2,0
5.6,95,85,7,1,1,34,9,8,1
6.69,69,75,3,4,6,25,3,6,0
9.71,89,79,4,1,5,13,1,6,1
6.62,43,76,9,0,6,23,1,8,1
7.59,57,72,6,1,3,0,3,1,0
8.52,76,75,5,1,6,21,5,2,1
6.82,64,42,3,4,6,22,3,9,0
9.86,87,48,9,3,7,18,9,8,1
9.81,40,47,5,0,5,17,8,7,0
6.26,92,72,5,4,7,11,3,7,1
7.49,85,98,4,1,6,27,9,5,1
6.5,54,45,4,1,5,27,6,2,0
6.42,48,80,1,3,3,32,7,6,0
5.18,54,78,7,0,5,18,4,3,0
8.05,88,43,9,0,1,27,4,4,1
7.51,96,52,3,2,7,25,2,2,1
5.26,63,88,2,0,5,34,5,2,0
6.39,43,99,3,3,3,33,8,8,0
9.54,51,41,1,2,4,34,7,8,0
6.2,98,99,6,2,6,15,7,6,1
5.72,97,44,7,1,5,12,6,5,1
7.45,76,83,2,1,6,22,3,8,0
9.93,76,66,8,0,2,21,5,4,1
6.21,82,71,6,2,1,15,1,4,1
8.36,99,60,4,1,7,27,7,5,1
8.81,45,47,5,3,1,34,9,1,1
6.19,78,77,8,1,2,7,1,1,1
8.64,95,47,3,1,2,21,2,2,0
6.84,85,89,3,2,7,20,3,8,0
8.16,63,42,4,2,5,25,3,7,0
8.17,50,93,1,4,2,20,8,9,0
7.68,52,83,9,3,4,24,7,5,1
